﻿월,산업,도로,해운,항공,합 계
17년 01월,,5924,5,0.01,5930
,,[99.91],[0.09],[0.00],[100.00]
02월,,5767,5,0.02,5772
,,[99.92],[0.08],[0.00],[100.00]
03월,,6410,5,0.04,6415
,,[99.92],[0.08],[0.00],[100.00]
04월,,6154,5,0.02,6159
,,[99.91],[0.09],[0.00],[100.00]
05월,,6782,6,0.02,6788
,,[99.92],[0.08],[0.00],[100.00]
06월,,6488,5,0.02,6493
,,[99.92],[0.08],[0.00],[100.00]
07월,,6950,6,0.02,6956
,,[99.91],[0.09],[0.00],[100.00]
08월,,6940,6,0.02,6946
,,[99.91],[0.09],[0.00],[100.00]
09월,,6675,6,0.02,6681
,,[99.91],[0.09],[0.00],[100.00]
10월,,6461,6,0.02,6467
,,[99.91],[0.09],[0.00],[100.00]
11월,,6353,6,0.02,6359
,,[99.91],[0.09],[0.00],[100.00]
12월,,6547,6,0.02,6553
,,[99.91],[0.09],[0.00],[100.00]
18년 01월,,6360,6,0.02,6366
,,[99.91],[0.09],[0.00],[100.00]
02월,,5855,6,0.02,5860
,,[99.90],[0.10],[0.00],[100.00]
03월,,6407,6,0.02,6412
,,[99.91],[0.09],[0.00],[100.00]
04월,,6266,6,0.04,6271
,,[99.91],[0.09],[0.00],[100.00]
05월,,6417,6,0.02,6423
,,[99.91],[0.09],[0.00],[100.00]
06월,,6683,5,0.02,6689
,,[99.92],[0.08],[0.00],[100.00]
07월,,6896,6,0.02,6901
,,[99.92],[0.08],[0.00],[100.00]
08월,,7118,6,0.03,7123
,,[99.92],[0.08],[0.00],[100.00]
09월,,6657,5,0.03,6662
,,[99.92],[0.08],[0.00],[100.00]
10월,,5405,5,0.03,5411
,,[99.90],[0.10],[0.00],[100.00]
11월,,6811,5,0.03,6817
,,[99.92],[0.08],[0.00],[100.00]
12월,,6768,6,0.03,6774
,,[99.92],[0.08],[0.00],[100.00]
19년 01월,,7178,4,-,7182
,,[99.95],[0.05],-,[100.00]
02월,,6149,3,-,6153
,,[99.94],[0.06],-,[100.00]
03월,,6671,4,0.03,6675
,,[99.94],[0.06],[0.00],[100.00]
04월,,6892,4,-,6896
,,[99.94],[0.06],-,[100.00]
05월,,5833,4,-,5837
,,[99.93],[0.07],-,[100.00]
06월,,6956,2,-,6958
,,[99.97],[0.03],-,[100.00]
07월,,6538,0.27,-,6538
,,[100.00],[0.00],-,[100.00]
08월,,8459,0.64,-,8459
,,[99.99],[0.01],-,[100.00]
09월,,5602,1,-,5603
,,[99.98],[0.02],-,[100.00]
10월,,6882,0.45,-,6883
,,[99.99],[0.01],-,[100.00]
11월,,6847,0.22,-,6847
,,[100.00],[0.00],-,[100.00]
12월,,6910,0.36,-,6910
,,[99.99],[0.01],-,[100.00]
20년 01월,,6050,-,-,6050
,,[100.00],-,-,[100.00]
02월,,5815,0.13,-,5815
,,[100.00],[0.00],-,[100.00]
03월,,5621,0.13,-,5622
,,[100.00],[0.00],-,[100.00]
04월,,6231,-,-,6231
,,[100.00],-,-,[100.00]
05월,,7367,0.12,-,7367
,,[100.00],[0.00],-,[100.00]
06월,,6877,-,-,6877
,,[100.00],-,-,[100.00]
07월,,7018,0.12,0.02,7018
,,[100.00],[0.00],[0.00],[100.00]
08월,,7214,-,-,7214
,,[100.00],-,-,[100.00]
09월,,6748,-,-,6748
,,[100.00],-,-,[100.00]
10월,,6482,-,-,6482
,,[100.00],-,-,[100.00]
11월,,7472,-,-,7472
,,[100.00],-,-,[100.00]
12월,,6417,-,-,6417
,,[100.00],-,-,[100.00]
21년 01월,,6025,-,-,6025
,,[100.00],-,-,[100.00]
02월,,6378,-,-,6378
,,[100.00],-,-,[100.00]
03월,,6362,-,-,6362
,,[100.00],-,-,[100.00]
04월,,6984,-,-,6984
,,[100.00],-,-,[100.00]
05월,,6942,-,-,6942
,,[100.00],-,-,[100.00]
06월,,7277,-,0.02,7277
,,[100.00],-,[0.00],[100.00]
합계,,355293,159,0.62,355453
,,[99.95],[0.04],[0.00],[100.00]
